Year,District Code,District Name,NSPF School Code,School Name,School Type,Total Index Score,Star Rating,Title I Status,% Proficient ELA,% Proficient Math,% Proficient Science,95% Participation Met Mathematics,95% Participation Met ELA,% Meeting AGP ELA,% Meeting AGP Math,% Meeting AGP EL,NAC 389.445 Credit Requirements (8th Grade),9th Grade Credit Sufficiency,CCR Participation,CCR Completion,Advanced Diploma,4-Year Graduation Rate,5-Year Graduation Rate,Chronic Absenteeism,CSI,Yrs In Designation As CSI,TSI,ATSI,Yrs In Designation As ATSI,CSI-MRI,Yrs In Designation As CSI-MRI
2026,18,"State Public Charter School Authority ",55204.1,Doral W Pebble ES,Regular,91.5,5,NO,67,65.2,32.4,YES,YES,64.5,58.5,68.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.3,NO,N/A,NO,NO,N/A,NO,N/A
2026,18,"State Public Charter School Authority ",55204.2,Doral W Pebble MS,Regular,92.5,5,NO,69.5,62.3,53.9,YES,YES,67,64.2,33.3,>95,N/A,N/A,N/A,N/A,N/A,N/A,5.2,NO,N/A,NO,NO,N/A,NO,N/A
2026,18,"State Public Charter School Authority ",57424.1,Honors ACAD ES,Regular,23.3,1,YES,42.8,30.1,15.7,NO,NO,39.4,15.7,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,NO,N/A,NO,NO,N/A,NO,N/A
2026,18,"State Public Charter School Authority ",57424.2,Honors ACAD MS,Regular,47.7,2,YES,46.1,24.6,37.5,YES,YES,39.6,28.5,N/A,>95,N/A,N/A,N/A,N/A,N/A,N/A,21.9,NO,N/A,NO,NO,N/A,NO,N/A
2026,18,"State Public Charter School Authority ",58422.1,Pinecrest Horizon ES,Regular,86.5,5,YES,62.3,64.8,17.9,YES,YES,62.5,66.9,56.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10.9,NO,N/A,NO,NO,N/A,NO,N/A
2026,18,"State Public Charter School Authority ",58423.1,Pinecrest Cadence ES,Regular,88,5,NO,68.4,63,13,YES,YES,66.8,58,66.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.4,NO,N/A,NO,NO,N/A,NO,N/A
2026,18,"State Public Charter School Authority ",58423.2,Pinecrest Cadence MS,Regular,88,5,NO,65.8,64.2,57.2,YES,YES,63.7,65.3,26.6,83.6,N/A,N/A,N/A,N/A,N/A,N/A,10,NO,N/A,NO,NO,N/A,NO,N/A
2026,18,"State Public Charter School Authority ",58423.3,Pinecrest Cadence HS,Regular,92,5,NO,73.8,48.4,34.8,YES,YES,N/A,N/A,19,N/A,91.7,86,82.9,53.5,>95,>95,16,NO,N/A,NO,NO,N/A,NO,N/A
2026,18,"State Public Charter School Authority ",58425.1,Pinecrest Inspirada ES,Regular,83,4,NO,85.4,85.7,39.5,YES,YES,71.7,67.8,83.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,<5,NO,N/A,NO,NO,N/A,NO,N/A
2026,18,"State Public Charter School Authority ",58425.2,Pinecrest Inspirada MS,Regular,94.4,5,NO,84.1,80.3,76.8,YES,YES,83.3,79.5,-,>95,N/A,N/A,N/A,N/A,N/A,N/A,<5,NO,N/A,NO,NO,N/A,NO,N/A
