Year,District Code,District Name,NSPF School Code,School Name,School Type,Total Index Score,Star Rating,Title I Status,% Proficient ELA,% Proficient Math,% Proficient Science,95% Participation Met Mathematics,95% Participation Met ELA,% Meeting AGP ELA,% Meeting AGP Math,% Meeting AGP EL,NAC 389.445 Credit Requirements (8th Grade),9th Grade Credit Sufficiency,CCR Participation,CCR Completion,Advanced Diploma,4-Year Graduation Rate,5-Year Graduation Rate,Chronic Absenteeism,CSI,Yrs In Designation As CSI,TSI,ATSI,Yrs In Designation As ATSI,CSI-MRI,Yrs In Designation As CSI-MRI
2026,16,Washoe,16601.2,Gerlach K 12 MS,Regular,28.3,1,NO,-,-,-,YES,YES,<5,<5,-,-,N/A,N/A,N/A,N/A,N/A,N/A,10,NO,N/A,NO,NO,N/A,NO,N/A
2026,16,Washoe,16601.3,Gerlach K 12 HS,Regular,N/A,Not Rated,NO,-,-,-,YES,YES,N/A,N/A,-,N/A,-,-,-,-,-,N/A,-,NO,N/A,NO,NO,N/A,NO,N/A
2026,16,Washoe,16602.3,Incline HS,Regular,94,5,NO,72.5,47.6,33.7,YES,YES,N/A,N/A,15.6,N/A,100,>95,77.2,64.6,>95,>95,11.2,NO,N/A,NO,NO,N/A,NO,N/A
2026,16,Washoe,16603.3,TMCC Magnet HS,Regular,93.7,5,NO,>95,54.9,-,YES,YES,N/A,N/A,-,N/A,N/A,>95,>95,92.1,>95,>95,23.5,NO,N/A,NO,NO,N/A,NO,N/A
2026,16,Washoe,16605.1,Sierra NV Acad CS ES,Regular,38,2,YES,29.5,21.3,6.6,YES,YES,34.8,37.2,18.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15,NO,N/A,NO,YES,2,NO,N/A
2026,16,Washoe,16605.2,Sierra NV Acad CS MS,Regular,44.4,2,YES,36.2,15.9,16.6,YES,YES,35.3,16.9,-,88,N/A,N/A,N/A,N/A,N/A,N/A,16,NO,N/A,NO,NO,N/A,NO,N/A
2026,16,Washoe,16606.3,Spanish Springs HS,Regular,81.5,4,NO,64.4,32.4,23.2,NO,NO,N/A,N/A,18.1,N/A,90.9,79.2,65.5,56.1,88.9,83,29.2,NO,N/A,NO,NO,N/A,NO,N/A
2026,16,Washoe,16607.3,North Valleys HS,Regular,51,3,NO,36.9,14.7,14.4,NO,NO,N/A,N/A,9.6,N/A,73.4,64.4,52.5,38.7,83.4,80.5,44.2,NO,N/A,NO,NO,N/A,NO,N/A
2026,16,Washoe,16608.3,ACE ACAD HS,Regular,90.5,5,NO,56.2,26.2,60,YES,YES,N/A,N/A,10.8,N/A,100,>95,>95,57.5,>95,>95,<5,NO,N/A,NO,NO,N/A,NO,N/A
2026,16,Washoe,16609.3,Damonte Ranch HS,Regular,74,4,NO,52.9,34.4,29.3,YES,YES,N/A,N/A,15.7,N/A,84.4,78.4,67.9,55.4,83.8,84.9,33,NO,N/A,YES,NO,N/A,NO,N/A
