school_year,level_band,rating_bucket_5level,rating_bucket_3level,enrollment,enrollment_share,school_count,data_status
2021-22,ES,5,4-5,0.0,0.0,0,testing_recovery_not_rated
2021-22,ES,Not Rated,Not Rated,32057.0,1.0,64,testing_recovery_not_rated
2021-22,ES,Collapsed,1-2,0.0,0.0,0,testing_recovery_not_rated
2021-22,ES,Collapsed,3,0.0,0.0,0,testing_recovery_not_rated
2021-22,ES,Collapsed,4-5,0.0,0.0,0,testing_recovery_not_rated
2021-22,ES,Collapsed,Not Rated,32057.0,1.0,64,testing_recovery_not_rated
2021-22,HS,1,1-2,0.0,0.0,0,testing_recovery_not_rated
2021-22,HS,2,1-2,0.0,0.0,0,testing_recovery_not_rated
2021-22,HS,3,3,0.0,0.0,0,testing_recovery_not_rated
2021-22,HS,4,4-5,0.0,0.0,0,testing_recovery_not_rated
2021-22,HS,5,4-5,0.0,0.0,0,testing_recovery_not_rated
2021-22,HS,Not Rated,Not Rated,13391.0,1.0,35,testing_recovery_not_rated
2021-22,HS,Collapsed,1-2,0.0,0.0,0,testing_recovery_not_rated
2021-22,HS,Collapsed,3,0.0,0.0,0,testing_recovery_not_rated
2021-22,HS,Collapsed,4-5,0.0,0.0,0,testing_recovery_not_rated
2021-22,HS,Collapsed,Not Rated,13391.0,1.0,35,testing_recovery_not_rated
2021-22,MS,1,1-2,0.0,0.0,0,testing_recovery_not_rated
2021-22,MS,2,1-2,0.0,0.0,0,testing_recovery_not_rated
2021-22,MS,3,3,0.0,0.0,0,testing_recovery_not_rated
2021-22,MS,4,4-5,0.0,0.0,0,testing_recovery_not_rated
2021-22,MS,5,4-5,0.0,0.0,0,testing_recovery_not_rated
2021-22,MS,Not Rated,Not Rated,17864.0,1.0,61,testing_recovery_not_rated
2021-22,MS,Collapsed,1-2,0.0,0.0,0,testing_recovery_not_rated
2021-22,MS,Collapsed,3,0.0,0.0,0,testing_recovery_not_rated
2021-22,MS,Collapsed,4-5,0.0,0.0,0,testing_recovery_not_rated
2021-22,MS,Collapsed,Not Rated,17864.0,1.0,61,testing_recovery_not_rated
2022-23,ES,1,1-2,3627.0,0.10617059891107078,10,modern_reporting
2022-23,ES,2,1-2,9379.0,0.27454481587729057,19,modern_reporting
2022-23,ES,3,3,7510.0,0.21983490427960892,14,modern_reporting
2022-23,ES,4,4-5,4085.0,0.11957730812013348,8,modern_reporting
2022-23,ES,5,4-5,9291.0,0.27196885428253614,15,modern_reporting
