school_year,level_band,rating_bucket_5level,rating_bucket_3level,enrollment_share
2022-23,HS,1,1-2,0.09181636726546906
2022-23,HS,2,1-2,0.0
2022-23,HS,3,3,0.40312707917498336
2022-23,HS,4,4-5,0.17751164337990685
2022-23,HS,5,4-5,0.2277445109780439
2022-23,HS,Not Rated,Not Rated,0.0998003992015968
2022-23,HS,Collapsed,1-2,0.09181636726546906
2022-23,HS,Collapsed,3,0.40312707917498336
2022-23,HS,Collapsed,4-5,0.40525615435795076
2022-23,HS,Collapsed,Not Rated,0.0998003992015968
2022-23,MS,1,1-2,0.038062101323211556
2022-23,MS,2,1-2,0.18888713163582688
2022-23,MS,3,3,0.31198270862986976
2022-23,MS,4,4-5,0.16474247456376193
2022-23,MS,5,4-5,0.2963255838473299
2022-23,MS,Not Rated,Not Rated,0.0
2022-23,MS,Collapsed,1-2,0.22694923295903843
2022-23,MS,Collapsed,3,0.31198270862986976
2022-23,MS,Collapsed,4-5,0.4610680584110918
2022-23,MS,Collapsed,Not Rated,0.0
2023-24,ES,1,1-2,0.18214468958440225
2023-24,ES,2,1-2,0.17194002622427457
2023-24,ES,3,3,0.1807479619177926
2023-24,ES,4,4-5,0.2680861980502822
2023-24,ES,5,4-5,0.18234422210820364
2023-24,ES,Not Rated,Not Rated,0.014736902115044753
2023-24,ES,Collapsed,1-2,0.35408471580867684
2023-24,ES,Collapsed,3,0.1807479619177926
2023-24,ES,Collapsed,4-5,0.45043042015848583
2023-24,ES,Collapsed,Not Rated,0.014736902115044753
2023-24,HS,1,1-2,0.10318692924147356
2023-24,HS,2,1-2,0.06529166925514071
2023-24,HS,3,3,0.25110268994222523
2023-24,HS,4,4-5,0.1233770267751755
2023-24,HS,5,4-5,0.37404485307821334
2023-24,HS,Not Rated,Not Rated,0.08299683170777164
2023-24,HS,Collapsed,1-2,0.16847859849661428
2023-24,HS,Collapsed,3,0.25110268994222523
2023-24,HS,Collapsed,4-5,0.4974218798533888
2023-24,HS,Collapsed,Not Rated,0.08299683170777164
2023-24,MS,1,1-2,0.0698001982367364
2023-24,MS,2,1-2,0.14946006573112838
2023-24,MS,3,3,0.19364599092284418
2023-24,MS,4,4-5,0.14330429339036987
2023-24,MS,5,4-5,0.4437894517189212
2023-24,MS,Not Rated,Not Rated,0.0
2023-24,MS,Collapsed,1-2,0.21926026396786477
2023-24,MS,Collapsed,3,0.19364599092284418
2023-24,MS,Collapsed,4-5,0.587093745109291
2023-24,MS,Collapsed,Not Rated,0.0
2024-25,ES,1,1-2,0.052970590728027796
2024-25,ES,2,1-2,0.1455773088114812
2024-25,ES,3,3,0.09023363561883775
2024-25,ES,4,4-5,0.24894765093086985
2024-25,ES,5,4-5,0.4571291352374495
2024-25,ES,Not Rated,Not Rated,0.005141678673333898
2024-25,ES,Collapsed,1-2,0.198547899539509
2024-25,ES,Collapsed,3,0.09023363561883775
2024-25,ES,Collapsed,4-5,0.7060767861683194
2024-25,ES,Collapsed,Not Rated,0.005141678673333898
2024-25,HS,1,1-2,0.1168496911461908
2024-25,HS,2,1-2,0.00680622283230382
2024-25,HS,3,3,0.2199153511782201
2024-25,HS,4,4-5,0.19749485243651338
2024-25,HS,5,4-5,0.4019675131548845
2024-25,HS,Not Rated,Not Rated,0.05696636925188744
2024-25,HS,Collapsed,1-2,0.12365591397849462
2024-25,HS,Collapsed,3,0.2199153511782201
2024-25,HS,Collapsed,4-5,0.5994623655913979
2024-25,HS,Collapsed,Not Rated,0.05696636925188744
2024-25,MS,1,1-2,0.026278264412303933
2024-25,MS,2,1-2,0.0895294357302913
2024-25,MS,3,3,0.17742921165206763
2024-25,MS,4,4-5,0.0745060093705439
2024-25,MS,5,4-5,0.6322570788347932
2024-25,MS,Not Rated,Not Rated,0.0
2024-25,MS,Collapsed,1-2,0.11580770014259523
2024-25,MS,Collapsed,3,0.17742921165206763
2024-25,MS,Collapsed,4-5,0.7067630882053372
2024-25,MS,Collapsed,Not Rated,0.0
